,y_pred
0,3
1,3
2,0
3,3
4,3
5,3
6,3
7,1
8,3
9,2
10,1
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,0
25,1
26,1
27,3
28,3
29,3
30,3
31,3
32,3
33,2
34,3
35,1
36,3
37,3
38,1
39,3
40,3
41,1
42,3
43,3
44,3
45,3
46,3
47,1
48,3
49,3
50,3
51,3
52,2
53,3
54,1
55,3
56,3
57,1
58,2
59,3
60,1
61,4
62,3
63,3
64,3
65,3
66,3
67,3
68,1
69,1
70,3
71,2
72,3
73,1
74,3
75,1
76,3
77,3
78,1
79,1
80,2
81,3
82,2
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,1
93,2
94,4
95,3
96,2
97,3
98,1
99,2
100,3
101,3
102,1
103,1
104,3
105,3
106,1
107,3
108,4
109,2
110,3
111,2
112,2
113,4
114,3
115,3
116,2
117,3
118,3
119,3
120,3
121,2
122,3
123,3
124,3
125,1
126,3
127,3
128,2
129,3
130,3
131,3
132,1
133,3
134,3
135,2
136,2
137,2
138,2
139,3
140,1
141,3
142,2
143,3
144,2
145,3
146,3
147,2
148,2
149,2
150,3
151,3
152,3
153,1
154,2
155,2
156,2
157,3
158,2
159,3
160,3
161,1
162,3
163,2
164,3
165,2
166,1
167,2
168,2
169,3
170,3
171,3
172,3
173,2
174,3
175,2
176,1
177,3
178,3
179,2
180,2
181,3
182,3
183,3
184,3
185,2
186,2
187,3
188,2
189,3
190,3
191,3
192,3
193,3
194,3
195,3
196,3
197,3
198,3
199,3
200,3
201,3
202,3
203,3
204,3
205,3
206,3
207,2
208,3
209,3
210,3
211,3
212,2
213,3
214,3
215,3
216,3
217,3
218,3
219,3
220,3
221,3
222,3
223,2
224,2
225,3
226,2
227,3
228,3
229,3
230,3
231,3
232,3
233,2
234,3
235,3
236,3
237,3
238,3
239,3
240,2
241,3
242,4
243,4
244,4
245,2
246,2
247,3
248,1
249,1
250,4
251,4
252,1
253,4
254,1
255,0
256,3
257,1
258,4
259,1
260,2
261,2
262,2
263,3
264,2
265,2
266,1
267,1
268,4
269,3
270,1
271,1
272,4
273,3
274,2
275,2
276,4
277,4
278,2
279,4
280,2
281,4
282,2
283,2
284,2
285,4
286,1
287,1
288,2
289,4
290,1
291,1
292,4
293,1
294,1
295,4
296,2
297,2
298,4
299,1
300,2
301,1
302,4
303,1
304,0
305,0
306,0
307,1
308,3
309,0
310,0
311,0
312,1
313,1
314,0
315,0
316,1
317,1
318,1
319,1
320,1
321,1
322,0
323,1
324,1
325,1
326,1
327,0
328,1
329,3
330,1
331,1
332,0
333,0
334,1
335,1
336,3
337,0
338,0
339,1
340,0
341,0
342,1
343,1
344,1
345,2
346,0
347,0
348,3
349,3
350,1
351,3
352,1
353,0
354,0
355,0
356,3
357,4
358,0
359,0
360,0
361,3
362,1
363,1
364,3
365,3
366,1
367,1
368,3
369,3
370,1
371,3
372,4
373,1
374,3
375,4
376,1
377,4
378,1
379,3
380,1
381,4
382,1
383,4
384,1
385,1
386,3
387,1
388,1
389,3
390,3
391,1
392,3
393,1
394,3
395,1
396,3
397,4
398,1
399,1
400,3
401,1
402,1
403,1
404,3
405,4
406,1
407,3
408,4
409,3
410,1
411,1
412,3
413,1
414,1
415,3
416,1
417,3
418,3
419,1
420,1
421,1
422,1
423,0
424,2
425,1
426,1
427,1
428,1
429,0
430,3
431,1
432,1
433,1
434,1
435,1
436,4
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,0
448,1
449,1
450,1
451,1
452,1
453,0
454,1
455,1
456,1
457,1
458,1
459,3
460,3
461,1
462,1
463,3
464,0
465,1
466,1
467,1
468,3
469,1
470,1
471,1
472,1
473,1
474,0
475,4
476,1
477,1
478,1
479,3
480,3
481,3
482,4
483,1
484,3
485,1
486,0
487,3
488,1
489,3
490,1
491,3
492,3
493,4
494,3
495,2
496,3
497,1
498,3
499,3
500,3
501,1
502,3
503,3
504,3
505,1
506,4
507,4
508,3
509,3
510,2
511,1
512,3
513,3
514,3
515,3
516,3
517,3
518,3
519,3
520,4
521,4
522,3
523,3
524,1
525,3
526,3
527,3
528,1
529,1
530,1
531,3
532,3
533,3
534,3
535,3
536,4
537,2
538,1
539,4
540,1
541,1
542,4
543,4
544,4
545,1
546,1
547,4
548,4
549,4
550,4
551,4
552,4
553,4
554,2
555,4
556,1
557,1
558,4
559,4
560,2
561,4
562,1
563,4
564,1
565,4
566,1
567,4
568,4
569,2
570,4
571,2
572,4
573,4
574,2
575,4
576,4
577,1
578,2
579,1
580,4
581,1
582,4
583,4
584,1
585,4
586,2
587,4
588,2
589,2
590,2
591,2
592,2
593,4
594,4
595,4
596,4
597,1
598,3
599,0
600,2
601,3
602,2
603,2
604,0
605,0
606,0
607,2
608,2
609,2
610,3
611,2
612,2
613,0
614,3
615,2
616,3
617,1
618,3
619,2
620,1
621,2
622,2
623,2
624,2
625,0
626,0
627,1
628,2
629,3
630,2
631,2
632,2
633,2
634,2
635,2
636,2
637,2
638,2
639,3
640,3
641,2
642,2
643,2
644,2
645,2
646,0
647,3
648,0
649,2
650,2
651,2
652,2
653,2
654,0
655,2
656,2
657,2
658,3
659,2
660,1
661,3
662,3
663,3
664,2
665,1
666,3
667,4
668,1
669,1
670,2
671,3
672,3
673,3
674,3
675,3
676,1
677,2
678,2
679,1
680,3
681,0
682,3
683,2
684,2
685,3
686,3
687,1
688,3
689,3
690,2
691,1
692,3
693,1
694,2
695,0
696,2
697,3
698,2
699,1
700,0
701,0
702,3
703,3
704,3
705,2
706,1
707,2
708,3
709,3
710,0
711,3
712,3
713,0
714,1
715,1
716,3
717,3
718,4
719,2
720,0
721,2
722,2
723,3
724,2
725,2
726,2
727,2
728,2
729,2
730,2
731,2
732,2
733,2
734,3
735,1
736,2
737,2
738,2
739,2
740,2
741,0
742,2
743,2
744,2
745,3
746,3
747,3
748,2
749,2
750,2
751,2
752,2
753,2
754,2
755,2
756,2
757,3
758,2
759,2
760,2
761,2
762,2
763,3
764,2
765,2
766,2
767,3
768,2
769,2
770,2
771,2
772,2
773,1
774,2
775,2
776,3
777,3
778,2
779,3
780,2
781,2
782,2
783,2
784,2
785,2
786,2
787,2
788,2
789,2
790,2
791,0
792,2
793,2
794,2
795,2
796,2
797,2
798,2
799,2
800,2
801,2
802,2
803,2
804,2
805,2
806,2
807,2
808,2
809,2
810,3
811,2
812,2
813,0
814,3
815,0
816,3
817,3
818,1
819,3
820,3
821,1
822,3
823,3
824,3
825,3
826,1
827,3
828,3
829,1
830,3
831,3
832,3
833,3
834,3
835,3
836,1
837,3
838,3
839,2
840,2
841,3
842,1
843,3
844,4
845,4
846,1
847,3
848,0
849,3
850,1
851,3
852,4
853,3
854,1
855,1
856,3
857,2
858,2
859,0
860,2
861,3
862,3
863,2
864,0
865,3
866,1
867,3
868,3
869,3
870,3
871,2
872,3
873,0
874,3
875,1
876,1
877,2
878,3
879,3
880,3
881,1
