,y_pred
0,0
1,3
2,0
3,0
4,1
5,0
6,0
7,0
8,1
9,0
10,1
11,0
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,1
20,0
21,0
22,0
23,0
24,0
25,1
26,0
27,0
28,0
29,0
30,0
31,0
32,1
33,2
34,3
35,3
36,2
37,1
38,4
39,3
40,1
41,0
42,1
43,1
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,1
53,0
54,0
55,0
56,1
57,0
58,0
59,1
60,1
61,1
62,1
63,1
64,1
65,3
66,4
67,3
68,1
69,4
70,1
71,1
72,1
73,3
74,3
75,1
76,1
77,1
78,1
79,1
80,1
81,4
82,1
83,1
84,2
85,1
86,3
87,1
88,4
89,1
90,1
91,3
92,1
93,1
94,0
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,4
103,2
104,1
105,3
106,1
107,4
108,1
109,1
110,1
111,1
112,1
113,1
114,4
115,1
116,4
117,1
118,4
119,4
120,4
121,2
122,2
123,1
124,3
125,1
126,3
127,2
128,1
129,3
130,2
131,3
132,1
133,2
134,2
135,2
136,2
137,2
138,2
139,3
140,0
141,2
142,1
143,4
144,1
145,2
146,1
147,2
148,1
149,1
150,2
151,2
152,1
153,1
154,2
155,2
156,2
157,1
158,2
159,2
160,2
161,2
162,0
163,1
164,2
165,2
166,2
167,2
168,1
169,1
170,1
171,2
172,1
173,2
174,1
175,1
176,2
177,1
178,0
179,2
180,0
181,2
182,3
183,4
184,3
185,4
186,4
187,3
188,3
189,4
190,3
191,3
192,3
193,3
194,3
195,2
196,0
197,0
198,3
199,4
200,4
201,3
202,4
203,3
204,3
205,1
206,3
207,3
208,3
209,3
210,4
211,0
212,3
213,3
214,4
215,4
216,3
217,3
218,4
219,3
220,3
221,3
222,0
223,3
224,1
225,3
226,1
227,3
228,4
229,4
230,3
231,3
232,3
233,4
234,3
235,3
236,3
237,1
238,0
239,3
240,3
241,3
242,4
243,4
244,4
245,1
246,4
247,4
248,1
249,4
250,4
251,4
252,1
253,1
254,1
255,4
256,4
257,4
258,4
259,4
260,4
261,4
262,4
263,1
264,1
265,4
266,4
267,4
268,4
269,4
270,4
271,4
272,4
273,4
274,4
275,1
276,4
277,4
278,1
279,4
280,4
281,4
282,4
283,4
284,4
285,4
286,4
287,4
288,4
289,4
290,4
291,1
292,4
293,1
294,4
295,4
296,4
297,4
298,4
299,4
300,1
301,4
302,4
303,4
304,2
305,2
306,0
307,2
308,2
309,2
310,1
311,0
312,1
313,0
314,2
315,0
316,2
317,2
318,2
319,0
320,0
321,2
322,2
323,1
324,3
325,2
326,0
327,2
