,y_pred
0,2
1,0
2,0
3,1
4,1
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,3
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,1
33,2
34,0
35,0
36,0
37,1
38,0
39,0
40,0
41,0
42,2
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,1
53,0
54,0
55,0
56,0
57,0
58,1
59,1
60,1
61,3
62,1
63,1
64,3
65,3
66,4
67,3
68,1
69,4
70,3
71,1
72,1
73,0
74,3
75,1
76,4
77,1
78,1
79,1
80,3
81,1
82,1
83,3
84,1
85,1
86,0
87,1
88,0
89,1
90,1
91,3
92,1
93,0
94,4
95,3
96,1
97,4
98,1
99,1
100,1
101,1
102,1
103,1
104,0
105,3
106,1
107,3
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,2
117,3
118,4
119,4
120,1
121,2
122,2
123,0
124,3
125,1
126,0
127,0
128,1
129,1
130,2
131,0
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,0
141,2
142,0
143,2
144,2
145,1
146,1
147,2
148,3
149,2
150,2
151,2
152,1
153,0
154,2
155,2
156,2
157,1
158,1
159,2
160,2
161,2
162,0
163,0
164,2
165,2
166,2
167,2
168,2
169,1
170,2
171,2
172,2
173,2
174,1
175,1
176,1
177,2
178,2
179,2
180,3
181,3
182,3
183,3
184,0
185,1
186,3
187,3
188,1
189,1
190,0
191,0
192,3
193,3
194,3
195,3
196,0
197,3
198,3
199,3
200,3
201,0
202,3
203,1
204,1
205,0
206,0
207,3
208,0
209,1
210,3
211,0
212,3
213,0
214,3
215,0
216,3
217,0
218,0
219,3
220,3
221,0
222,3
223,3
224,1
225,3
226,3
227,3
228,3
229,3
230,3
231,0
232,3
233,3
234,0
235,0
236,3
237,3
238,1
239,3
240,3
241,0
242,4
243,4
244,4
245,3
246,4
247,1
248,1
249,4
250,4
251,4
252,1
253,4
254,1
255,4
256,4
257,4
258,4
259,4
260,4
261,3
262,0
263,1
264,1
265,4
266,4
267,1
268,1
269,4
270,1
271,1
272,4
273,1
274,4
275,4
276,4
277,4
278,1
279,1
280,4
281,4
282,4
283,3
284,1
285,4
286,4
287,4
288,4
289,4
290,4
291,4
292,4
293,4
294,1
295,4
296,4
297,4
298,3
299,4
300,1
301,1
302,4
303,4
304,3
305,2
306,2
307,2
308,0
309,0
310,2
311,0
312,2
313,3
314,2
315,0
316,3
317,3
318,2
319,2
320,1
321,3
322,3
323,3
324,2
325,3
326,2
327,3
328,1
329,0
330,2
331,3
332,3
333,1
334,1
335,0
336,2
337,3
338,0
339,3
340,2
341,2
342,2
343,2
344,1
345,2
346,2
347,2
348,0
349,1
350,3
351,3
352,1
353,2
354,2
355,1
356,3
357,1
358,2
359,2
360,0
361,1
362,1
363,1
364,3
365,3
366,1
367,4
368,1
369,1
370,1
371,4
372,4
373,1
374,1
375,4
376,1
377,3
378,1
379,1
380,1
381,1
382,1
383,2
384,1
385,3
386,4
387,1
388,3
389,3
390,4
391,4
392,4
393,4
394,1
395,1
396,1
397,1
398,1
399,2
400,4
401,1
402,1
403,1
404,4
405,1
406,1
407,1
408,4
409,1
410,1
411,4
412,1
413,3
414,4
415,3
416,1
417,3
418,1
419,4
420,0
421,2
422,1
423,1
424,2
425,2
426,0
427,1
428,1
429,0
430,0
431,3
432,2
433,0
434,0
435,2
436,2
437,1
438,2
439,2
440,0
441,4
442,2
443,2
444,1
445,1
446,3
447,0
448,1
449,3
450,0
451,3
452,0
453,2
454,1
455,1
456,2
457,1
458,1
459,0
460,1
461,3
462,1
463,3
464,3
465,1
466,0
467,2
468,0
469,3
470,1
471,2
472,2
473,0
474,2
475,2
476,0
477,2
478,3
479,1
480,4
481,3
482,1
483,2
484,4
485,3
486,3
487,3
488,3
489,1
490,2
491,4
492,3
493,1
494,2
495,4
496,2
497,2
498,3
499,3
500,3
501,2
502,4
503,2
504,3
505,1
506,4
507,4
508,2
509,1
510,1
511,3
512,3
513,1
514,3
515,4
516,2
517,3
518,1
519,1
520,1
521,4
522,4
523,4
524,1
525,4
526,3
527,2
528,2
529,1
530,1
531,2
532,1
533,4
534,2
535,2
536,3
537,4
538,1
539,4
540,4
541,4
542,4
543,4
544,4
545,4
546,4
547,4
548,4
549,4
550,4
551,3
552,4
553,4
554,4
555,3
556,4
557,4
558,4
559,4
560,3
561,4
562,3
563,1
564,4
565,4
566,4
567,4
568,4
569,4
570,4
571,3
572,4
573,4
574,4
575,4
576,4
577,4
578,1
579,4
580,4
581,4
582,4
583,4
584,3
585,4
586,4
587,4
588,4
589,4
590,3
591,4
592,3
593,4
594,4
595,3
596,4
597,4
598,3
599,2
600,0
601,3
602,2
603,3
604,3
605,3
606,2
607,3
608,3
609,3
610,3
611,2
612,0
613,2
614,2
615,3
616,3
617,0
618,2
619,3
620,3
621,0
622,0
623,3
624,2
625,3
626,3
627,3
628,0
629,0
630,2
631,0
632,2
633,2
634,2
635,0
636,3
637,3
638,2
639,2
640,0
641,0
642,3
643,0
644,3
645,2
646,0
647,3
648,2
649,3
650,2
651,0
652,2
653,3
654,0
655,3
656,0
657,4
658,1
659,3
660,1
661,3
662,3
663,1
664,1
665,1
666,4
667,4
668,2
669,3
670,3
671,2
672,1
673,2
674,1
675,4
676,3
677,0
678,2
679,1
680,1
681,1
682,1
683,1
684,1
685,4
686,1
687,3
688,4
689,1
690,2
691,3
692,3
693,1
694,1
695,1
696,2
697,1
698,0
699,3
700,0
701,3
702,3
703,1
704,1
705,0
706,4
707,1
708,0
709,1
710,3
711,1
712,1
713,0
714,1
715,2
716,1
717,1
718,4
719,3
720,2
721,3
722,3
723,2
724,2
725,2
726,2
727,2
728,2
729,2
730,3
731,2
732,2
733,3
734,3
735,3
736,2
737,2
738,2
739,0
740,2
741,3
742,2
743,2
744,2
745,3
746,0
747,3
748,2
749,2
750,2
751,2
752,3
753,2
754,2
755,2
756,2
757,3
758,2
759,2
760,2
761,2
762,3
763,2
764,2
765,2
766,2
767,2
768,2
769,2
770,2
771,2
772,3
773,3
774,2
775,2
776,2
777,3
778,2
779,2
780,2
781,3
782,2
783,2
784,3
785,2
786,2
787,3
788,2
789,2
790,2
791,2
792,2
793,2
794,2
795,2
796,2
797,2
798,2
799,2
800,2
801,2
802,2
803,2
804,2
805,2
806,2
807,2
808,2
809,2
810,3
811,2
812,2
813,2
814,3
815,3
816,3
817,3
818,3
819,3
820,3
821,2
822,3
823,3
824,3
825,3
826,3
827,3
828,3
829,3
830,3
831,3
832,3
833,3
834,3
835,3
836,3
837,2
838,3
839,3
840,3
841,2
842,2
843,3
844,3
845,3
846,3
847,3
848,0
849,2
850,3
851,3
852,4
853,3
854,1
855,3
856,3
857,2
858,3
859,3
860,3
861,3
862,3
863,2
864,3
865,3
866,3
867,3
868,2
869,3
870,3
871,3
872,3
873,3
874,3
875,2
876,3
877,0
878,3
879,2
880,3
881,3
882,3
883,3
884,4
885,4
886,4
887,4
888,4
889,4
890,4
891,4
892,4
893,4
894,4
895,4
896,4
897,4
898,4
899,4
900,3
901,4
902,4
903,4
904,4
905,4
906,4
907,4
908,4
909,4
910,4
911,4
912,4
913,4
914,4
915,4
916,4
917,4
918,4
919,3
920,4
921,4
922,4
923,4
924,4
925,4
926,4
927,3
928,4
929,4
930,4
931,4
932,4
933,4
934,4
935,4
936,4
937,4
938,4
939,4
940,4
941,4
942,4
943,4
944,4
945,4
946,4
947,4
948,4
949,4
950,3
951,4
952,4
953,4
954,4
955,4
956,4
957,3
958,4
959,4
960,4
961,4
962,0
963,0
964,2
965,0
966,0
967,0
968,0
969,4
970,0
971,0
972,2
973,4
974,0
975,0
976,2
977,0
978,0
979,0
980,0
981,4
982,0
983,0
984,0
985,4
986,0
987,0
988,0
989,0
990,0
991,4
992,2
993,0
994,0
995,2
996,0
997,0
998,0
999,0
1000,0
1001,4
1002,0
1003,2
1004,0
1005,4
1006,4
1007,0
1008,4
1009,4
1010,0
1011,0
1012,0
1013,4
1014,4
1015,4
1016,2
1017,0
1018,3
1019,4
1020,4
1021,4
1022,4
1023,4
1024,4
1025,4
1026,4
1027,4
1028,4
1029,4
1030,4
1031,4
1032,4
1033,4
1034,4
1035,4
1036,4
1037,4
1038,4
1039,4
1040,4
1041,4
1042,4
1043,4
1044,4
1045,4
1046,4
1047,4
1048,4
1049,4
1050,4
1051,4
1052,4
1053,4
1054,4
1055,4
1056,4
1057,4
1058,4
1059,4
1060,4
1061,4
1062,4
1063,4
1064,4
1065,4
1066,4
1067,4
1068,4
1069,4
1070,4
1071,4
1072,4
1073,4
1074,4
1075,4
1076,4
1077,4
1078,4
1079,4
1080,4
1081,4
1082,4
1083,4
1084,4
1085,4
1086,4
1087,2
1088,4
1089,4
1090,4
1091,4
1092,4
1093,4
1094,4
1095,4
1096,1
1097,4
1098,4
1099,4
1100,4
1101,4
1102,4
1103,4
1104,4
1105,4
1106,4
1107,4
1108,4
1109,4
1110,4
1111,4
1112,4
1113,4
1114,4
1115,4
1116,4
1117,4
1118,4
1119,4
1120,4
1121,4
1122,4
1123,0
1124,4
1125,4
1126,4
1127,4
1128,4
1129,4
1130,4
1131,4
1132,4
1133,4
1134,4
1135,4
1136,4
1137,4
1138,0
1139,4
1140,4
1141,4
1142,4
1143,4
1144,4
1145,4
1146,4
1147,4
1148,4
1149,4
1150,4
1151,4
1152,4
1153,4
1154,4
1155,4
1156,4
1157,4
1158,4
